Index		Events Name	Discription	Unit	
Module name	Event Select				
Fetch_Icache	0	L1I_ACCESS	number of l1i cache access for valid normal fetch,including un-cacheable access	3	
	1	L1I_MISS	number of l1i cache miss for valid normal fetch,including un-cacheable miss	3	
	2	L1I_L2_HIT	number of l2 hit for l1i cacheable load request	3	
	3	L1I_L2 CAST OUT	number of l2 castout operation for l1i	3	
	4	L1I_STATE.C	number of fetch won arbitration (stage C)	3	
	5	L1I_STATE.U	number of valid normal fetch	3	
	6	L1I_STATE.D	cycles of l1i waiting for first data ready from L2 (l1i load request waiting for data stage)	3	
	7	L1I_STATE.R	cycles of l1i waiting for an Response Buffer to become available	3	
	8	ICACHE.IFETCH_STALL 	cycles where a code-fetch stalled due to L1i cache miss or an iTLB miss 	3	
	9	ITLB.ITLB_FLUSH 	number of iTLB flushes, includes 4k/2M/4M pages. 	3	
	10	L1I_PREFETCH	number of prefetch	3	
	11	L1I_PREFETCH_MISS	number of prefetch miss	3	
BTAC_IFETCH	0	BR_INST_EXEC.ALL_BRANCHES 	number of all executed near branches (not necessarily retired).	7	
	1	BR_INST_EXEC.COND 	number of executed, conditional, near branches(not necessarily retired). 	7	
	2	BR_INST_EXEC.DIRECT_JMP 	number of executed, unconditional, near direct branches excluding calls and indirect branches. 	7	
	3	BR_INST_EXEC.DIRECT_NEAR_CALL 	number of executed, unconditional, near call branches.	7	
	4	BR_INST_EXEC.INDIRECT_JMP_NON_CALL_RET 	number of executed, indirect near branches excluding calls nor returns. 	7	
	5	BR_INST_EXEC.INDIRECT_NEAR_CALL 	number of executed, indirect near calls.	7	
	6	BR_INST_EXEC.NONTAKEN 	number of executed, non-taken, conditional,near branches. 	7	
	7	BR_INST_EXEC.RETURN_NEAR 	number of executed,indirect near return branches. 	7	
	8	BR_INST_EXEC.TAKEN 	number of executed, taken, near branches including conditional and unconditional.	7	
	9	BR_MISP_EXEC.ALL_BRANCHES 	number of all executed, mispredicted, near branches (not necessarily retired). 	7	
	10	BR_MISP_EXEC.COND 	number of executed, mispredicted, conditional near branches. 	7	
	11	BR_MISP_EXEC.DIRECT_NEAR_C ALL 	number of executed, mispredicted, unconditional, near call branches. 	7	
	12	BR_MISP_EXEC.INDIRECT_JMP_NON_CALL_RET 	number of executed, mispredicted, indirect near branches excluding calls nor returns. 	7	
	13	BR_MISP_EXEC.INDIRECT_NEAR_CALL 	number of executed, mispredicted indirect near calls. 	7	
	14	BR_MISP_EXEC.NONTAKEN 	number of executed, mispredicted, non-taken, conditional, near branches. 	7	
	15	BR_MISP_EXEC.RETURN_NEAR 	number of executed, mispredicted, indirect, near return branches. 	7	
	16	BR_MISP_EXEC.TAKEN 	number of executed, mispredicted, taken, near branches including conditional and unconditional.	7	
	17	LSD.UOPS	Number of intructions in loop buffer mode delivered by the FIQ.	7	
	18	BACLEARS.ANY	number of decode stage flush.	7	
	19	IDQ.EMPTY	Number of cycles the FIQ is empty.	7	
	20	BR_TKN_BUBBLE 	number of bubbles for predicted taken branches. 	7	
XIB FMT	0	ILD_STALL.LCP                                  	the instrucion decode need two cycle	8	
	1	ILD_STALL.IQ_FULL 	FIQ have space for instruction	8	
	2	SIMD_FP_256.PACKED_SINGLE	the instrucion packed single precision floating-point values	8	
	3	SIMD_FP_256.PACKED_DOUBLE	the instrucion packed double precision floating-point values	8	
XLATE	0	UOPS_RETIRED.MACRO_FUSION.2INST	2 X86 instruction fusion 	9	
	1	UOPS_RETIRED.MACRO_FUSION.3INST	3 X86 instruction fusion 	9	
"RAT
"	0	ROB_STALL_CYCLE	Cycles stalled of  ROB.	1	
	1	UOPS_ISSUED.ANY	Increments each cycle the # of Uops issued by the RAT to RS.	1	
	2	IDQ.MITE_ALL_UOPS	# of uops delivered to IDQ from any path.	1	
	3	IDQ.MS_UOPS	Increment each cycle # of uops delivered to IDQ from MS by either DSB or MITE.	1	
	4	XLATE_3UOPS	Counts cycles MITE is delivered have three uops from XLATE.	1	
	5	XLATE_2UOPS	Counts cycles MITE is delivered only have two uops from XLATE.	1	
	6	XLATE_1UOPS	Counts cycles MITE is delivered only have one uops from XLATE.	1	
	7	XLATE_0UOPS	Counts cycles MITE is delivered none from XLATE.	1	
	8	UCODE_3UOPS	Counts cycles MITE is delivered have three uops from UCODE.	1	
	9	UCODE_2UOPS	Counts cycles MITE is delivered only have two uops from UCODE.	1	
	10	UCODE_1UOPS	Counts cycles MITE is delivered only have one uops from UCODE.	1	
	11	UCODE_0UOPS	Counts cycles MITE is delivered none from UCODE.	1	
	12	NATTIVE_BRANCH_STALL	Cycles stalled due to native branch	1	
	13	IDQ.MITE_UOPS	Increment each cycle # of uops delivered to IDQ from MITE path.	1	
	14	RESOURCE_STALLS.FPCW	"Counts the number of cycles while execution was
stalled due to writing the floating-point unit (FPU)
control word."	1	
	15	IDQ.MS_MITE_UOPS	Increment each cycle # of uops delivered to IDQ when MS_busy by MITE.	1	
	16	GPR_READ_STALL	Counts times of the uop which Read GPR serialize.	1	
	17	MPR_READ_STALL	Counts times of the uop which Read MPR serialize.	1	
	18	EFLAGS_READ_STALL	Counts times of the uop which Read EFLAGS serialize.	1	
	19	DREG_READ_STALL	Counts times of the uop which Read DREG serialize.	1	
	20	SRC3_MUTIPLE_DEPENDENCY	Counts times of the uop which SRC3 dependent on mutiple uops.	1	
	21	FPSW_READ_STALL	Counts times of the uop which Read FPSW serialize.	1	
	22	DOUBLE_FENCE_CYCLE	Counts times of the uop which have double fence.	1	
	24	DELAYED_BYPASS.FP	"This event counts the number of times floating point
operations use data immediately after the data was
generated by a non-floating point execution unit. Such cases
result in one penalty cycle due to data bypass between the
units.
Use IA32_PMC1 only."	1	
	25	CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Cycles of dispatch stalls. Set Any Thread to count per core.	1	
	26	RESOURCE_STALLS.ROB	Cycles stalled due to re-order buffer full.	1	
	27	IDQ.ALL_MITE_CYCLES_3_UOPS	Counts cycles MITE is delivered three uops.	1	
	28	IDQ.ALL_MITE_CYCLES_ANY_UOP S	Counts cycles MITE is delivered at least one uops. Set Cmask = 1.	1	
	29	RAT_STALLS.PARTIAL_CYCLES	"This event counts the number of cycles instruction
execution latency became longer than the defined latency
because the instruction uses a register that was partially
written by previous instructions."	1	
	30	RAT_STALLS.FLAGS 	Cycles stalled due to the uop of Read FLAGS	1	
	32	RAT_IDLE	Counts cycles rat is idle.	1	
	33	UCODE_CYCLES	Counts cycles instruction stream is on ucode.	1	
	34	FUSED_STRENGTH	"Counts the number of fused Uops that were issued
from the Register Allocation Table to the
Reservation Station."	1	
	36	INT2X87_CYCLE	Counts times of X87 instruction switch to int instruction	1	
	37	UCFCEXIT_UOP	Counts the number of X86 instruction which trap to ucode but only need one cycle to decode it.	1	
RS	0	UOPS_DISPATCHED.RS0	RS0 dispatch uop	4	
	1	UOPS_DISPATCHED.RS1	RS1 dispatch uop	4	
	2	UOPS_DISPATCHED.RS2	RS2 dispatch uop	4	
	3	UOPS_DISPATCHED.RS3	RS3 dispatch uop	4	
	4	UOPS_DISPATCHED.RS45.Port0	RS45 dispatch uop in port0	4	
	5	UOPS_DISPATCHED.RS45.Port1	RS45 dispatch uop in port1	4	
	8	RESOURCE_STALLS.RS0	RS0 full	4	
	9	RESOURCE_STALLS.RS1	RS1 full	4	
	11	RESOURCE_STALLS.RS2	RS2 full	4	
	12	RESOURCE_STALLS.RS3	RS3 full	4	
	13	RESOURCE_STALLS.RS45	RS45 full	4	
	15	RS_EVENTS.EMPTY_CYCLES	RS0/1/2/3/45 empty	4	
	16	RESOURCE_STALLS.ANY	RS0/1/2/3/45(include ldQ/stQ) full	4	
	17	RESOURCE_STALLS.RS	RS0/1/2/3/45(not include ldQ/stQ) full	4	
	18	RESOURCE_STALLS.SB	stQ full	4	
	19	RESOURCE_STALLS.LD	ldQ full	4	
	20	RS12_READY2_ISSUE1	RS1 and RS2 has >= 2 uops ready, but only dispatch 1 uop from RS1 and RS2	4	
	21	RS45_READY2_ISSUE1	RS45 has >= 2 uops ready, but only dispatch 1 uop from RS45	4	
	22	RS12_03_SAMEISSUE	RS1/2 and RS45 dispatch uop at same cycle	4	
	23	MFX_HIT	RS0 has media fixup	4	
MOB	0	TABLE_WALK.DATA	data tablewalk	5	
	1	TABLE_WALK.CODE	code tablewalk 	5	
	2	LD_QUEUE.EMPTY	loadq empty	5	
	3	LD_QUEUE.FULL	loadq full	5	
	4	LD_MISS	load miss the l1d cache when first dispathed	5	
	5	LD_MISS.WHY	load wants store data, but the data not ready when first dispathed	5	
	6	LD_MISS.FILL_QUEUE	load wants push fillq, but the fillq is full when first dispathed	5	
	7	LD_COMPLETE	load done completely(complete in mob,not in rob)	5	
	8	LD_REPLAY	load replay because of various of resasons	5	
	9	LD_REPLAY.NO_DELAY	load replay immediately	5	
	10	LD_REPLAY.ST_MAT_BYTR	load replay since collide with store, but cant't forward	5	
	11	LD_REPLAY.ST_FWD	load replay since forward with store, but the data not ready	5	
	12	LD_REPLAY.LD_PENDING	load replay since older fence is pending	5	
	13	LD_REPLAY.ST_PENDING	load replay since it should wait till order store complete	5	
	14	LD_REPLAY.FILL_QUEUE_FULL	load replay since it wants push fillq, but fillq is full	5	
	15	LD_REPLAY.FILL_QUEUE_PENDING	load replay since it should wait till fillq empty	5	
	16	LD_REPLAY.FILL_QUEUE_FWD	load replay since forward with fillq, but the data not ready	5	
	17	LD_REPLAY.RET ROB IDX	load replay since it should wait till rob oldest	5	
	18	LD_REPLAY.WCB_MAT	load replay since it match wcb entry	5	
	19	LD_REPLAY.SNARF_ST_QUEUE	load should snarf the data from storeq, but data not ready	5	
	20	LD_REPLAY.SNARF_FILL_QUEUE	load should snarf the data from fillq, but data not ready	5	
	21	FILL_QUEUE.PUSH	number of fillq pushs at the current cycle	5	
	22	FILL_QUEUE.PUSH_LDI	number of fillq pushs by load operation at the current cycle	5	
	23	FILL_QUEUE.VICTIM_RESTART	number of victim restart since match snoopq or storeq	5	
	24	FILL_QUEUE.EVEICT_CLEAN	number of evict requests for clean cacheline	5	
	25	FILL_QUEUE.EVEICT_DIRTY	number of evict requests for dirty cacheline	5	
	26	FILL_QUEUE.L2_MISS	number of l2 miss pushed by fillq 	5	
	27	FILL_QUEUE.L2_HIT	number of l2 hit pushed by fillq 	5	
	29	FILL_QUEUE.FULL	Cycles of filq full	5	
	30	FILL_QUEUE.L2_DATA_VALID	number of l2 data feedbacks pushed by fillq 	5	
	31	ST_REPLAY_LD	number of load replays since store or snoop hits the completed loadq entry, called msreplay	5	
	32	LD_HIT_SNOOP_QUEUE	number of load matching snoopq when first dispathed 	5	
	33	TABLE_WALK.DTLB_UPDATE	number of dtlb update	5	
